O43520,AT8B1_HUMAN,225,1
O43520,AT8B1_HUMAN,988,1
O43524,FOXO3_HUMAN,656,1
O43525,KCNQ3_HUMAN,225,1
O43525,KCNQ3_HUMAN,887,1
O43526,KCNQ2_HUMAN,225,1
O43526,KCNQ2_HUMAN,887,1
O43526,KCNQ2_HUMAN,991,1
O43541,SMAD6_HUMAN,225,1
O43541,SMAD6_HUMAN,989,1
O43542,XRCC3_HUMAN,225,1
O43543,XRCC2_HUMAN,923,1
O43548,TGM5_HUMAN,225,1
O43556,SGCE_HUMAN,225,1
O43556,SGCE_HUMAN,1023,1
O43567,RNF13_HUMAN,225,1
O43567,RNF13_HUMAN,887,1
O43570,CAH12_HUMAN,225,1
O43586,PPIP1_HUMAN,225,1
O43593,HAIR_HUMAN,225,1
O43593,HAIR_HUMAN,1063,1
O43597,SPY2_HUMAN,225,1
O43602,DCX_HUMAN,225,1
O43602,DCX_HUMAN,451,1
O43602,DCX_HUMAN,887,1
O43612,OREX_HUMAN,225,1
O43623,SNAI2_HUMAN,897,1
O43663,PRC1_HUMAN,553,1
O43676,NDUB3_HUMAN,225,1
O43676,NDUB3_HUMAN,1274,1
O43678,NDUA2_HUMAN,1274,1
O43707,ACTN4_HUMAN,225,1
O43708,MAAI_HUMAN,225,1
O43709,BUD23_HUMAN,856,1
O43716,GATC_HUMAN,225,1
O43716,GATC_HUMAN,1274,1
O43734,CIKS_HUMAN,225,1
O43766,LIAS_HUMAN,225,1
O43772,MCAT_HUMAN,225,1
O43790,KRT86_HUMAN,225,1
O43791,SPOP_HUMAN,991,1
O43819,SCO2_HUMAN,122,1
O43819,SCO2_HUMAN,225,1
O43819,SCO2_HUMAN,431,1
O43822,CF410_HUMAN,225,1
O43822,CF410_HUMAN,242,1
O43822,CF410_HUMAN,1186,1
O43826,G6PT1_HUMAN,225,1
O43826,G6PT1_HUMAN,322,1
O43837,IDH3B_HUMAN,225,1
O43837,IDH3B_HUMAN,682,1
O43896,KIF1C_HUMAN,225,1
O43896,KIF1C_HUMAN,523,1
O43897,TLL1_HUMAN,225,1
O43897,TLL1_HUMAN,976,1
O43900,PRIC3_HUMAN,225,1
O43900,PRIC3_HUMAN,429,1
O43909,EXTL3_HUMAN,225,1
O43909,EXTL3_HUMAN,242,1
O43909,EXTL3_HUMAN,991,1
O43918,AIRE_HUMAN,225,1
O43924,PDE6D_HUMAN,979,1
O43929,ORC4_HUMAN,225,1
O43929,ORC4_HUMAN,242,1
O43933,PEX1_HUMAN,209,1
O43933,PEX1_HUMAN,225,1
O43933,PEX1_HUMAN,861,1
O43933,PEX1_HUMAN,986,1
O60216,RAD21_HUMAN,225,1
O60216,RAD21_HUMAN,991,1
O60220,TIM8A_HUMAN,209,1
O60220,TIM8A_HUMAN,225,1
O60220,TIM8A_HUMAN,1023,1
O60231,DHX16_HUMAN,225,1
O60231,DHX16_HUMAN,622,1
O60241,AGRB2_HUMAN,225,1
O60243,H6ST1_HUMAN,225,1
O60243,H6ST1_HUMAN,956,1
O60243,H6ST1_HUMAN,1016,1
O60258,FGF17_HUMAN,225,1
O60258,FGF17_HUMAN,956,1
O60258,FGF17_HUMAN,1016,1
O60260,PRKN_HUMAN,225,1
O60260,PRKN_HUMAN,523,1
O60260,PRKN_HUMAN,907,1
O60260,PRKN_HUMAN,908,1
O60266,ADCY3_HUMAN,550,1
O60282,KIF5C_HUMAN,225,1
O60292,SI1L3_HUMAN,898,1
O60303,KATIP_HUMAN,979,1
O60308,CE104_HUMAN,979,1
O60313,OPA1_HUMAN,122,1
O60313,OPA1_HUMAN,209,1
O60313,OPA1_HUMAN,225,1
O60313,OPA1_HUMAN,523,1
O60313,OPA1_HUMAN,1274,1
O60315,ZEB2_HUMAN,225,1
O60315,ZEB2_HUMAN,367,1
O60315,ZEB2_HUMAN,887,1
O60315,ZEB2_HUMAN,991,1
O60318,GANP_HUMAN,622,1
O60318,GANP_HUMAN,991,1
O60331,PI51C_HUMAN,225,1
O60333,KIF1B_HUMAN,144,1
O60333,KIF1B_HUMAN,225,1
O60333,KIF1B_HUMAN,523,1
O60336,MABP1_HUMAN,225,1
O60336,MABP1_HUMAN,983,1
O60337,MARH6_HUMAN,887,1
O60341,KDM1A_HUMAN,225,1
O60343,TBCD4_HUMAN,219,1
O60346,PHLP1_HUMAN,43,1
O60353,FZD6_HUMAN,225,1
O60383,GDF9_HUMAN,1066,1
O60393,NOBOX_HUMAN,225,1
O60393,NOBOX_HUMAN,1066,1
O60443,GSDME_HUMAN,43,1
O60443,GSDME_HUMAN,1010,1
O60479,DLX3_HUMAN,986,1
O60481,ZIC3_HUMAN,225,1
O60481,ZIC3_HUMAN,1056,1
O60487,MPZL2_HUMAN,225,1
O60487,MPZL2_HUMAN,1010,1
O60488,ACSL4_HUMAN,23,1
O60488,ACSL4_HUMAN,209,1
O60488,ACSL4_HUMAN,225,1
O60488,ACSL4_HUMAN,250,1
O60488,ACSL4_HUMAN,991,1
O60493,SNX3_HUMAN,1013,1
O60494,CUBN_HUMAN,225,1
O60500,NPHN_HUMAN,225,1
O60519,CRBL2_HUMAN,43,1
O60566,BUB1B_HUMAN,43,1
O60566,BUB1B_HUMAN,225,1
O60568,PLOD3_HUMAN,225,1
O60602,TLR5_HUMAN,772,1
O60610,DIAP1_HUMAN,225,1
O60610,DIAP1_HUMAN,887,1
O60610,DIAP1_HUMAN,1010,1
O60662,KLH41_HUMAN,225,1
